"OrgID"||"OrgName"||"FranID"||"FranchiseeName"||"StoreID"||"StoreName"||"StartDate"||"EndDate"
"10000"||"Company 10000"||"2650"||"Peder Dabinett"||"-90000449"||"Management Site"||"19000101"||"21001231"
"10000"||"Company 10000"||"2650"||"Peder Dabinett"||"104613"||"104613 - Hallows"||"20010501"||"21001231"
"10000"||"Company 10000"||"2650"||"Peder Dabinett"||"104599"||"104599 - Upham"||"19951221"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"-90000009"||"Management Site"||"19000101"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"-90001173"||"Management Site"||"19000101"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"103220"||"103220 - Old Shore"||"20190201"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"103198"||"103198 - Continental"||"20190201"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"103147"||"103147 - Almo"||"20190201"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"103085"||"103085 - Moland"||"20190201"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"103061"||"103061 - Buell"||"19990720"||"21001231"
"10001"||"Company 10001"||"2675"||"Bobinette Gounot"||"103049"||"103049 - Sullivan"||"20190201"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"101257"||"101257 - International"||"20220601"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"100563"||"100563 - Mariners Cove"||"20210603"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"-90000674"||"Management Site"||"19000101"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"-90000673"||"Management Site"||"19000101"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"-90000672"||"Management Site"||"19000101"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"-90000671"||"Management Site"||"19000101"||"21001231"
"10002"||"Company 10002"||"2626"||"Basia Clawsley"||"-90000670"||"Management Site"||"19000101"||"21001231"
